id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
338,Human Society,Drama,society,-1,"['society', 'human', 'Human Relationships', 'family', 'Group Behavior', 'Buildings', 'Houses', 'Families', 'house', 'city', 'politics', 'Urban', 'competition', 'government', 'City', 'marriage', 'nation', 'money', 'Building', 'Human Body']","[0.8450580125511349, 0.5941451611250145, 0.5601736711755894, 0.4926535411429345, 0.4782008746953259, 0.46825418810365804, 0.45057689533142575, 0.44817253640191174, 0.4467551802817385, 0.44647039004649314, 0.4358407131304043, 0.4330692648831883, 0.429701216421533, 0.4284922989870522, 0.4238296605653359, 0.4224933762694366, 0.41814080114821833, 0.40907348903180313, 0.40644923873480526, 0.405680903218157]"
339,Body of Knowledge,Building,knowledge,14,"['knowledge', 'book', 'research', 'Library', 'education', 'Dictionary', 'Occupation', 'Human Body', 'Construction Work', 'skill', 'theory', 'laboratory', 'Bookshelf', 'Building', 'life', 'Group Behavior', 'ecosystem', 'society', 'Buildings', 'mind']","[0.5271633054150902, 0.43328622425253477, 0.36109472123642816, 0.36034457590229085, 0.3414988193394064, 0.34040446692881254, 0.33275620018086655, 0.3285837332857026, 0.321668233871482, 0.3205344050389821, 0.31760386912800764, 0.3156934242605363, 0.31537091460881594, 0.3115303306338153, 0.30429342820952665, 0.2983874748312959, 0.2968768519318893, 0.29179962720257624, 0.2899668158346082, 0.2863644572623511]"
340,Rational Thinking,Maps,argument,-1,"['argument', 'ideas', 'theory', 'idea', 'research', 'mind', 'understanding', 'accepting a belief', 'knowledge', 'Human Relationships', 'education', 'Group Behavior', 'debate', 'memory', 'A Puzzle', 'human', 'The Puzzle', 'Solving Puzzles', 'competition', 'time']","[0.49435024908927033, 0.45795020322060365, 0.44145836467742594, 0.43105798223216063, 0.42353323768791346, 0.41440535511411486, 0.41057715639827963, 0.39964448161077437, 0.3912597080923979, 0.39054000435020975, 0.3662368252705702, 0.35790613640630314, 0.35408298796830995, 0.349711818428208, 0.3481529862085282, 0.3478797717412415, 0.34324146303463265, 0.3410663957575271, 0.33071435906037505, 0.3244394798029117]"
341,Self Development,Plants,difficulties,-1,"['difficulties', 'skill', 'education', 'Healing', 'ideas', 'career', 'Human Relationships', 'society', 'Group Behavior', 'Student', 'understanding', 'Diseases', 'illness', 'ambition', 'Makeup', 'natural selection', 'Deafness', 'Population Movement', 'New Culture Movement', 'innovation']","[0.43335351588900234, 0.4278369356360694, 0.4277235675214057, 0.4073801623267611, 0.35600930765710487, 0.35239929925451796, 0.34894364802677974, 0.3470946528951886, 0.3404070299618626, 0.3403394295742571, 0.3396427449658164, 0.32061323706442746, 0.31274885153389886, 0.31171673534076894, 0.30512821379645816, 0.30413964913356817, 0.3036033905848673, 0.3033243497303879, 0.3000835874952442, 0.29832394090150327]"
342,Emotion,River,Human Emotions,-1,"['Human Emotions', 'love', 'Evolution', 'The Brain', 'Human Relationships', 'Biological Evolution', 'The Nervous System', 'mind', 'Group Behavior', 'competition', 'Families', 'Disease', 'signal', 'Human Body', 'family', 'memory', 'Neural Networks', 'Urban Evolution', 'research', 'Machines']","[0.4734703590864083, 0.4622961896163331, 0.4262735001640365, 0.4044399072165541, 0.4042971097049316, 0.3934604002905784, 0.39249632942612983, 0.3907327785499213, 0.37792059692615376, 0.37570143787254995, 0.3743585012590054, 0.3712946989025861, 0.3655672109505268, 0.3639456543022359, 0.3637676365327611, 0.36002868079372624, 0.35816689978551985, 0.3573669208561775, 0.3571715260599335, 0.3552014126784051]"
343,Team Management,Football Game,skill,-1,"['skill', 'difficulties', 'time', 'ambition', 'Translation', 'ideas', 'career', 'Group Behavior', 'business', 'competition', 'A Tuning System for Music', 'understanding', 'sport', 'Competition', 'Construction Workers', 'company', 'basketball', 'Drug Treatment', 'Transportation Systems', ""the factory's production line""]","[0.4131575778808866, 0.3789549177432987, 0.37596473124235374, 0.35573788257833383, 0.3503702506086842, 0.3481841999352884, 0.3433306146083075, 0.3395913793613651, 0.33460641126124935, 0.3314204191871411, 0.3307951702193802, 0.3307621518491444, 0.3284493901339924, 0.3284491838750613, 0.3244299624344499, 0.31803068579629, 0.3170352512592206, 0.3150704954167404, 0.30978517526327765, 0.3094380417864401]"
344,Creative Design,Baking,Drawing,-1,"['Drawing', 'Construction Work', 'ideas', 'Construction Workers', 'Architecture', 'idea', 'edit', 'research', 'Dance', 'Crime Scene', 'Printers Print Documents', 'career', 'innovation', '3D Projection', 'the cleaners', 'skill', 'Printers', 'Music', 'program', 'Supply Chain']","[0.43450433880598544, 0.4054963985380776, 0.3936062153149131, 0.3598687150699178, 0.35908800979300387, 0.34812662355606705, 0.3451114824237809, 0.3367679786899035, 0.3341518026212493, 0.32085070244766384, 0.3166629776150266, 0.31585175668162874, 0.31497203310050825, 0.31266832857774607, 0.31182386571037435, 0.30886632409620585, 0.29792295447828204, 0.29413629080569187, 0.29300404856941303, 0.290033136570088]"
345,Education,Planting,education,-1,"['education', 'knowledge', 'Student', 'debate', 'ideas', 'Diseases', 'skill', 'research', 'career', 'understanding', 'idea', 'Ecosystem', 'theory', 'edit', 'society', 'Buildings', 'Enlightenment', 'cooking', 'argument', 'family']","[0.8349818607864093, 0.4568943749203863, 0.4543263407081686, 0.4228408429181112, 0.4142008498214147, 0.4022455262968686, 0.40211157357408345, 0.39928375626261775, 0.39870014840791357, 0.3952217830108926, 0.3878073375476264, 0.38767007849435553, 0.3779225943574121, 0.37699120783932294, 0.37689178439954185, 0.3766477810187061, 0.3761673731446661, 0.3689950434070633, 0.36873472581190253, 0.3615981039842724]"
346,Sports,Cooking,sport,-1,"['sport', 'Horse Racing', 'basketball', 'Football Game', 'Competition', 'Archery', 'Fishing', 'competition', 'skill', 'Dance', 'Music', 'politics', 'Music Performance', 'The Puzzle', 'Sailing', 'business', 'Construction Work', 'Financial Markets', 'Student', 'society']","[0.8604882066564322, 0.5182150469646759, 0.5129208911988554, 0.5125110580784997, 0.4940216953179309, 0.48372754324109835, 0.45623280892092855, 0.4311718079564909, 0.4254722582719009, 0.41115597132564063, 0.4057597042726781, 0.4032465792877113, 0.4000483806367138, 0.39385263909206086, 0.3809788073647523, 0.3774437291295985, 0.364176166745084, 0.35696984148014144, 0.3567834568896687, 0.3558984627248605]"
347,solar system,atom,planet,-1,"['planet', 'universe', 'Skin System', 'Solar Panels', 'Plants', 'The Nervous System', 'day and night cycle', 'Human Body', 'Ecosystem', 'sound system', 'Operating System', 'Vortex', 'the skeletal system', 'Dust Storm', 'ecosystem', 'gas molecules', 'Sailing', 'society', 'A Distributed Computing System', 'electromagnetic emission system']","[0.6460100004605442, 0.4553797391063117, 0.38574197322680015, 0.3739786051213111, 0.3610762235716409, 0.3529700430115, 0.33190149297894234, 0.3288817189306487, 0.3184646115417584, 0.3177808975807992, 0.31635423482441527, 0.3128446634703688, 0.3092074841979978, 0.3085158702525548, 0.30419108401460665, 0.29514198712219863, 0.2945373134983554, 0.290378660893296, 0.290144120626861, 0.28900951594173707]"
348,water flow,heat transfer,Conservation of Water Flow,6,"['Conservation of Water Flow', 'River', 'Ecosystem', 'Information Flow', 'ecosystem', 'heat transfer', 'Regulator', 'Water Wave Propagation', 'Financial Equilibrium', 'Fishing', 'Wind Power', 'tidal phenomena', 'Circular Economy', 'Urban Evolution', 'education', 'Urban', 'Spread of Fire', 'Water pipe system', 'Expressway', 'forest']","[0.5947429657056555, 0.5368715989177635, 0.43127355777781057, 0.3968265070754798, 0.391329961948627, 0.3789063233363726, 0.3743939112376923, 0.37316532844265854, 0.3694801183797627, 0.36777676446804797, 0.36233546291238095, 0.36184554368738303, 0.3578308231471046, 0.3492349654895828, 0.33829614414793263, 0.33337954021408106, 0.32243300591041824, 0.32209206335388274, 0.31587181220788596, 0.3087561881916742]"
349,waves,sounds,Water Wave Propagation,3,"['Water Wave Propagation', 'Wave Propagation', 'sounds', 'tidal phenomena', 'Vortex', 'Sailing', 'resonance cavity', 'pendulum motion', 'Mirrors', 'Wind Power', 'River', 'signal', 'sound system', 'Ecosystem', 'Fishing', 'Walls', 'Dance', 'War', 'clock', 'Music']","[0.6340532271026966, 0.5863230499694517, 0.5343115922518481, 0.46509855283676377, 0.4581328293829814, 0.4098714867709307, 0.4045663003371812, 0.3961955760237148, 0.3728054557591389, 0.3662405952605357, 0.3628429112224447, 0.36069945603158515, 0.34720028950738313, 0.34701251451029597, 0.3467487495433276, 0.34396683774956804, 0.3434426611248719, 0.34212971886101484, 0.34172011638555855, 0.33698190626481084]"
350,combustion,respiration,Spread of Fire,5,"['Spread of Fire', 'engine', 'Burning Energy', 'Chemical Reactions', 'respiration', 'heat transfer', 'heat', 'gas molecules', 'Power Generation', 'cooking', 'Friction', 'Car', 'Baking', 'Cooking', 'Reactor', 'air filter', 'electromagnetic emission system', 'car', 'Competition', 'Construction Work']","[0.6383243161432062, 0.5315528061264436, 0.528048629658078, 0.46921966955444583, 0.4410349705661773, 0.419062651704309, 0.41039607554857027, 0.39362812187636037, 0.3915250470102574, 0.38801217630730744, 0.3861462998272878, 0.37789106626602376, 0.37261387277130553, 0.370854035304841, 0.365933846463221, 0.3633962601043298, 0.3368911118388338, 0.3252325257826843, 0.3065462248210245, 0.29308005172556567]"
351,sound,light,sounds,5,"['sounds', 'sound system', 'Wave Propagation', 'signal', 'light', 'Water Wave Propagation', 'Music', 'Loudspeakers for Acoustic Systems', 'A Tuning System for Music', 'Musical Notes', 'resonance cavity', 'time', 'pendulum motion', 'understanding', 'Spring', 'heat transfer', 'life', 'sport', 'Friction', 'Machines']","[0.7700216573859092, 0.5570634376691503, 0.5195156614436951, 0.5005485808662178, 0.4902879360885968, 0.48713191067401196, 0.42902219448105, 0.41676720835862535, 0.41034639799829525, 0.4067821156464718, 0.4013826737131727, 0.38411593396339605, 0.3826460495609205, 0.3721722514460518, 0.3602318001036488, 0.35482370986428474, 0.35005438273921957, 0.34825291682945636, 0.33863901953480663, 0.33517574789743604]"
352,projectile,planet,Wave Propagation,8,"['Wave Propagation', '3D Projection', 'pendulum motion', 'Archery', 'program', 'A Pinball Game', 'Water Wave Propagation', 'planet', 'basketball', 'sport', 'theory', 'Sailing', 'Reactor', 'heat transfer', 'electromagnetic emission system', 'The Hunt', 'Population Movement', 'Balloons', 'atom', 'universe']","[0.4081663471325833, 0.3930553489668931, 0.36852136860255363, 0.36766753349868697, 0.35491818854017915, 0.34845925208548784, 0.3362601534693186, 0.33382993999984745, 0.3295451326912896, 0.32813271704794345, 0.3258023823604522, 0.3241416197286952, 0.3209363580131905, 0.3196451294092598, 0.31123868588815323, 0.30659896728617064, 0.3000906748363987, 0.30005640652387694, 0.2983201570239577, 0.29747603786813764]"
353,billiard balls,gas molecules,A Pinball Game,-1,"['A Pinball Game', 'basketball', 'sport', 'Checkers', 'Dominoes', 'Football Game', 'A Jigsaw Puzzle', 'The Puzzle', 'Archery', 'Balloons', 'Mirrors', 'Buildings', 'A Puzzle', 'a three-dimensional puzzle', 'Horse Racing', 'Blankets', 'The Ring', 'sounds', 'skill', 'Printers Print Documents']","[0.5318688151771516, 0.3884613019715976, 0.37538966826645975, 0.3505705001950484, 0.34286530512399027, 0.33961127154188797, 0.32798200217946794, 0.3218931000915679, 0.3161507465961489, 0.3040096005781834, 0.2950490040345296, 0.28843682904699736, 0.28387319067095146, 0.2806661100359186, 0.2736562939284561, 0.2729566377256424, 0.2705716911535443, 0.2676277116627946, 0.26484455302574944, 0.2617006206698163]"
354,water,heat,gas molecules,10,"['gas molecules', 'River', 'Conservation of Water Flow', 'Water Wave Propagation', 'Plants', 'heat transfer', 'life', 'respiration', 'Human Body', 'heat', 'money', 'Wave Propagation', 'atom', 'Chemical Reactions', 'Ecosystem', 'Burning Energy', 'Desert', 'Houses', 'Music', 'Soda']","[0.4666270001749074, 0.4585050090493319, 0.4325403068769585, 0.42945719809835864, 0.4194929151452571, 0.4058018911859701, 0.39108548483720273, 0.38260636083085675, 0.37846127717647904, 0.3646283960439173, 0.3646159789221254, 0.36293192605614066, 0.35526282321530833, 0.3542398952193784, 0.3484863995631471, 0.34601087978516776, 0.3439575548726066, 0.33189991809450115, 0.3220103751794125, 0.3209542423918095]"
355,waves,sounds,Water Wave Propagation,4,"['Water Wave Propagation', 'Wave Propagation', 'tidal phenomena', 'sounds', 'Wind Power', 'Vortex', 'Sailing', 'pendulum motion', 'River', 'resonance cavity', 'signal', 'Ecosystem', 'Power Generation', 'light', 'Mirrors', 'clock', 'ecosystem', 'day and night cycle', 'Conservation of Water Flow', 'sponge']","[0.6654419628942924, 0.6301636294640651, 0.5186236434034137, 0.4992287948078763, 0.47963587403300806, 0.4787244761821853, 0.46003317003589417, 0.44471551373972273, 0.43590771458531996, 0.40396030489653045, 0.39351193223394026, 0.38575839813323554, 0.36450326931380617, 0.36402878981798614, 0.36363904440299627, 0.3626470410750774, 0.357110392037679, 0.3570063211307486, 0.35255081610671696, 0.34357671689142455]"
356,Light Propagation,Wave Propagation,Wave Propagation,1,"['Wave Propagation', 'Water Wave Propagation', 'light', 'electromagnetic emission system', 'signal', 'pendulum motion', 'Information Flow', 'heat transfer', 'Sailing', 'Population Movement', 'Mirrors', 'Spread of Fire', 'Friction', 'Molecular Symmetry', 'Power Generation', 'communication networks', 'life', 'object slides', 'Vortex', 'sounds']","[0.7068630498561027, 0.6185827801404572, 0.5414873636406339, 0.37064563183366595, 0.3512928405058299, 0.3487306695750043, 0.337050700906672, 0.33513764702740606, 0.3282351090126303, 0.3177977375015076, 0.31749298305279117, 0.311793448740102, 0.31101131179998387, 0.30348284927448616, 0.302674698462468, 0.301690014082861, 0.2914375320241258, 0.28896119151769384, 0.2886325101747484, 0.2855730308790878]"
357,Principle of Conservation of Energy,Principle of Financial Balance,heat,20,"['heat', 'Burning Energy', 'heat transfer', 'electromagnetic emission system', 'Friction', 'engine', 'Power Generation', 'Chemical Reactions', 'respiration', 'Conservation of Water Flow', 'Water Wave Propagation', 'Wave Propagation', 'Ecosystem', 'Evolution', 'atom', 'Circular Economy', 'theory', 'universe', 'life', 'Principle of Financial Balance']","[0.481692120914331, 0.46791877359652034, 0.4203223413605698, 0.4023922749016695, 0.3948829930785824, 0.3920497741030252, 0.37772385827015575, 0.3712250800196614, 0.3533923542949764, 0.35080863090368053, 0.33906546596965786, 0.33483864219794024, 0.329691886412505, 0.32643617379915824, 0.32518587207199023, 0.321310174657399, 0.316418515660343, 0.3119785155161767, 0.30790621982930066, 0.30531875361762306]"
358,Vision System,Camera,Machines,13,"['Machines', 'sound system', 'Computer', 'Transportation Systems', 'Neural Networks', 'Factory System', 'Blindness', 'The Neural Network of Computers', 'Skin System', 'The Nervous System', 'camera', 'blind', 'Camera', 'Robotic arm', 'Robotic Movement', 'signal', 'Operating System', 'The Writing System', 'idea', 'Computer Code']","[0.4758255275740514, 0.4483487159379125, 0.4365441402020663, 0.4100960434597614, 0.40990512712067306, 0.40677388893980077, 0.4048849346488555, 0.39299704862657786, 0.391530638838037, 0.38549016558353094, 0.3826229126954862, 0.36984585566899464, 0.36575613803137796, 0.36502107022336755, 0.3524422793834516, 0.3512016161523931, 0.34950125204704285, 0.34179984821068055, 0.33253732597565205, 0.32888612893242747]"
359,Spectral Lines,Musical Notes,light,3,"['light', 'Molecular Symmetry', 'Musical Notes', 'line', 'gas molecules', 'signal', 'laboratory', 'electromagnetic emission system', 'life', 'sounds', 'planet', 'atom', 'Wave Propagation', 'Chemical Reactions', 'Water Wave Propagation', 'Electronic Signal Transmission', 'Plants', 'Crime Scene', 'tidal phenomena', 'natural selection']","[0.4320746795120655, 0.4073497228145505, 0.4013992776860234, 0.38938609289729387, 0.3737563698691224, 0.3667361514117339, 0.3550127270820155, 0.34939308555965687, 0.3374670710422448, 0.3273422967273536, 0.32538063841410586, 0.312915233156535, 0.3079270361453678, 0.30512039301217325, 0.2870213305840795, 0.28587254346265045, 0.28417715024685536, 0.28110979545874387, 0.27647890252002877, 0.2710502641882208]"
360,Magnetic Resonance Imaging,Prospecting,Seismic Imaging,-1,"['Seismic Imaging', 'Maps', 'Mirrors', 'Robotic Movement', 'resonance cavity', 'mind', 'Neural Networks', 'memory', 'Human Body', 'illness', 'Transportation Systems', 'Heart', 'The Brain', 'Molecular Symmetry', 'How the Human Brain Works', 'Machines', 'Robotic arm', 'The Neural Network of Computers', 'electromagnetic emission system', 'Diseases']","[0.4337056131953133, 0.33927631640271183, 0.32871944612055815, 0.32819546512781334, 0.30508966024051604, 0.3019864580786462, 0.29663975121025976, 0.29426863108632806, 0.28440075515013696, 0.28362751867871405, 0.2770314995759813, 0.27693184141351046, 0.27575745168937266, 0.27199400129466744, 0.27158250026163955, 0.268048584098, 0.2666725299982811, 0.2658965483700597, 0.2642529945566606, 0.26110440225832887]"
